Location,Rainfall,Date Recorded
WA|Perth|Metro,19.2,26-02-2020
WA|Perth|Metro,2,27-02-2020
WA|Perth|Metro,11,28-02-2020
WA|Perth|Metro,0.2,29-02-2020
WA|Perth|Metro,,
WA|Perth|Metro,,
WA|Perth|Metro,0,01-03-2020
WA|Perth|Metro,0,02-03-2020
WA|Perth|Metro,0,03-03-2020
WA|Perth|Metro,0,04-03-2020
WA|Perth|Metro,0,05-03-2020
WA|Perth|Metro,0,06-03-2020
WA|Perth|Metro,0,07-03-2020
WA|Perth|Metro,0,08-03-2020
WA|Perth|Metro,0,09-03-2020
WA|Perth|Metro,0,10-03-2020
WA|Perth|Metro,0,11-03-2020
WA|Perth|Metro,0,12-03-2020
WA|Perth|Metro,8.6,13-03-2020
WA|Perth|Metro,0,14-03-2020
WA|Perth|Metro,0.2,15-03-2020
WA|Perth|Metro,19.8,16-03-2020
WA|Perth|Metro,0,17-03-2020
WA|Perth|Metro,0,18-03-2020
WA|Perth|Metro,0,19-03-2020
WA|Perth|Metro,0,20-03-2020
WA|Perth|Metro,0,21-03-2020
WA|Perth|Metro,0,22-03-2020
WA|Perth|Metro,0,23-03-2020
WA|Perth|Metro,0,24-03-2020
WA|Perth|Metro,0,25-03-2020
WA|Perth|Metro,4,26-03-2020
WA|Perth|Metro,0.2,27-03-2020
WA|Perth|Metro,0,28-03-2020
WA|Perth|Metro,0,29-03-2020
WA|Perth|Metro,,30-03-2020
WA|Perth|Metro,,31-03-2020
WA|Perth|Metro,0,01-04-2020
WA|Perth|Metro,0.2,02-04-2020
WA|Perth|Metro,0,03-04-2020
WA|Perth|Metro,0,04-04-2020
WA|Perth|Metro,1.4,05-04-2020
WA|Perth|Metro,0,06-04-2020
WA|Perth|Metro,0,07-04-2020
WA|Perth|Metro,0,08-04-2020
WA|Perth|Metro,0,09-04-2020
WA|Perth|Metro,0,10-04-2020
WA|Perth|Metro,0,11-04-2020
WA|Perth|Metro,0,12-04-2020
WA|Perth|Metro,0,13-04-2020
WA|Perth|Metro,0,14-04-2020
WA|Perth|Metro,0,15-04-2020
WA|Perth|Metro,0,16-04-2020
WA|Perth|Metro,0,17-04-2020
WA|Perth|Metro,0,18-04-2020
WA|Perth|Metro,6.4,19-04-2020
WA|Perth|Metro,0,20-04-2020
WA|Perth|Metro,0.4,21-04-2020
WA|Perth|Metro,0.2,22-04-2020
WA|Perth|Metro,1,23-04-2020
WA|Perth|Metro,0,24-04-2020
WA|Perth|Metro,2.6,25-04-2020
WA|Perth|Metro,0.2,26-04-2020
WA|Perth|Metro,0,27-04-2020
WA|Perth|Metro,0.8,28-04-2020
WA|Perth|Metro,0,29-04-2020
WA|Perth|Metro,0,30-04-2020
WA|Perth|Metro,,
WA|Perth|Metro,0,01-05-2020
WA|Perth|Metro,0,02-05-2020
WA|Perth|Metro,0,03-05-2020
WA|Perth|Metro,0.6,04-05-2020
WA|Perth|Metro,13.6,05-05-2020
WA|Perth|Metro,9.2,06-05-2020
WA|Perth|Metro,3,07-05-2020
WA|Perth|Metro,5.8,08-05-2020
WA|Perth|Metro,0,09-05-2020
WA|Perth|Metro,0,10-05-2020
WA|Perth|Metro,0,11-05-2020
WA|Perth|Metro,0,12-05-2020
WA|Perth|Metro,0,13-05-2020
WA|Perth|Metro,0,14-05-2020
WA|Perth|Metro,0,15-05-2020
WA|Perth|Metro,0,16-05-2020
WA|Perth|Metro,0,17-05-2020
WA|Perth|Metro,0,18-05-2020
WA|Perth|Metro,0,19-05-2020
WA|Perth|Metro,0,20-05-2020
WA|Perth|Metro,0,21-05-2020
WA|Perth|Metro,0,22-05-2020
WA|Perth|Metro,0,23-05-2020
WA|Perth|Metro,0,24-05-2020
WA|Perth|Metro,21.4,25-05-2020
WA|Perth|Metro,5,26-05-2020
WA|Perth|Metro,1.6,27-05-2020
WA|Perth|Metro,3.4,28-05-2020
WA|Perth|Metro,31,29-05-2020
WA|Perth|Metro,15.4,30-05-2020
WA|Perth|Metro,1.6,31-05-2020
WA|Perth|Metro,7.4,01-06-2020
WA|Perth|Metro,0,02-06-2020
WA|Perth|Metro,0,03-06-2020
WA|Perth|Metro,0.2,04-06-2020
WA|Perth|Metro,0,05-06-2020
WA|Perth|Metro,0,06-06-2020
WA|Perth|Metro,0.4,07-06-2020
WA|Perth|Metro,0.2,08-06-2020
WA|Perth|Metro,0,09-06-2020
WA|Perth|Metro,0,10-06-2020
WA|Perth|Metro,9.4,11-06-2020
WA|Perth|Metro,20.6,12-06-2020
WA|Perth|Metro,1.8,13-06-2020
WA|Perth|Metro,3,14-06-2020
WA|Perth|Metro,0.2,15-06-2020
WA|Perth|Metro,0,16-06-2020
WA|Perth|Metro,0,17-06-2020
WA|Perth|Metro,12.6,18-06-2020
WA|Perth|Metro,0.6,19-06-2020
WA|Perth|Metro,0,20-06-2020
WA|Perth|Metro,0,21-06-2020
WA|Perth|Metro,0,22-06-2020
WA|Perth|Metro,8.2,23-06-2020
WA|Perth|Metro,1.8,24-06-2020
WA|Perth|Metro,0,25-06-2020
WA|Perth|Metro,0,26-06-2020
WA|Perth|Metro,3.8,27-06-2020
WA|Perth|Metro,6,28-06-2020
WA|Perth|Metro,38.2,29-06-2020
WA|Perth|Metro,1,30-06-2020
WA|Perth|Metro,,
WA|Perth|Metro,3,01-07-2020
WA|Perth|Metro,,
WA|Perth|Metro,0,03-07-2020
WA|Perth|Metro,0,04-07-2020
WA|Perth|Metro,0,05-07-2020
WA|Perth|Metro,6.8,06-07-2020
WA|Perth|Metro,6.2,07-07-2020
WA|Perth|Metro,4.6,08-07-2020
WA|Perth|Metro,0,09-07-2020
WA|Perth|Metro,0,10-07-2020
WA|Perth|Metro,0,11-07-2020
WA|Perth|Metro,0,12-07-2020
WA|Perth|Metro,3.4,13-07-2020
WA|Perth|Metro,25.6,14-07-2020
WA|Perth|Metro,1.8,15-07-2020
WA|Perth|Metro,1,16-07-2020
WA|Perth|Metro,12.6,17-07-2020
WA|Perth|Metro,1.4,18-07-2020
WA|Perth|Metro,0.4,19-07-2020
WA|Perth|Metro,0,20-07-2020
WA|Perth|Metro,0,21-07-2020
WA|Perth|Metro,0,22-07-2020
WA|Perth|Metro,1.6,23-07-2020
WA|Perth|Metro,0,24-07-2020
WA|Perth|Metro,0,25-07-2020
WA|Perth|Metro,2.2,26-07-2020
WA|Perth|Metro,4.8,27-07-2020
WA|Perth|Metro,8,28-07-2020
WA|Perth|Metro,0,29-07-2020
WA|Perth|Metro,0,30-07-2020
WA|Perth|Metro,0,31-07-2020
WA|Perth|Metro,0,01-08-2020
WA|Perth|Metro,0,02-08-2020
WA|Perth|Metro,4.8,03-08-2020
WA|Perth|Metro,10.2,04-08-2020
WA|Perth|Metro,0,05-08-2020
WA|Perth|Metro,0,06-08-2020
WA|Perth|Metro,0,07-08-2020
WA|Perth|Metro,0,08-08-2020
WA|Perth|Metro,4.4,09-08-2020
WA|Perth|Metro,31,10-08-2020
WA|Perth|Metro,4,11-08-2020
WA|Perth|Metro,0.4,12-08-2020
WA|Perth|Metro,0,13-08-2020
WA|Perth|Metro,1.2,14-08-2020
WA|Perth|Metro,0.6,15-08-2020
WA|Perth|Metro,19.2,16-08-2020
WA|Perth|Metro,10.4,17-08-2020
WA|Perth|Metro,1.6,18-08-2020
WA|Perth|Metro,1.2,19-08-2020
WA|Perth|Metro,0,20-08-2020
WA|Perth|Metro,0,21-08-2020
WA|Perth|Metro,0,22-08-2020
WA|Perth|Metro,1,23-08-2020
WA|Perth|Metro,0,24-08-2020
WA|Perth|Metro,0,25-08-2020
WA|Perth|Metro,0,26-08-2020
WA|Perth|Metro,0,27-08-2020
WA|Perth|Metro,0,28-08-2020
WA|Perth|Metro,2.8,29-08-2020
WA|Perth|Metro,0,30-08-2020
WA|Perth|Metro,0,31-08-2020
WA|Perth|Metro,15,01-09-2020
WA|Perth|Metro,5.8,02-09-2020
WA|Perth|Metro,0.8,03-09-2020
WA|Perth|Metro,0,04-09-2020
WA|Perth|Metro,0,05-09-2020
WA|Perth|Metro,0.2,06-09-2020
WA|Perth|Metro,24.8,07-09-2020
WA|Perth|Metro,3.2,08-09-2020
WA|Perth|Metro,0,09-09-2020
WA|Perth|Metro,2.2,10-09-2020
WA|Perth|Metro,0,11-09-2020
WA|Perth|Metro,0,12-09-2020
WA|Perth|Metro,0,13-09-2020
WA|Perth|Metro,0,14-09-2020
WA|Perth|Metro,0,15-09-2020
WA|Perth|Metro,0,16-09-2020
WA|Perth|Metro,0,17-09-2020
WA|Perth|Metro,0,18-09-2020
WA|Perth|Metro,3.6,19-09-2020
WA|Perth|Metro,5.6,20-09-2020
WA|Perth|Metro,3.4,21-09-2020
WA|Perth|Metro,1.2,22-09-2020
WA|Perth|Metro,0.4,23-09-2020
WA|Perth|Metro,0,24-09-2020
WA|Perth|Metro,0,25-09-2020
WA|Perth|Metro,0,26-09-2020
WA|Perth|Metro,5.4,27-09-2020
WA|Perth|Metro,5.4,28-09-2020
WA|Perth|Metro,0.8,29-09-2020
WA|Perth|Metro,0,30-09-2020
WA|Perth|Metro,,
WA|Perth|Metro,0,01-10-2020
WA|Perth|Metro,2.4,02-10-2020
WA|Perth|Metro,2.8,03-10-2020
WA|Perth|Metro,0,04-10-2020
WA|Perth|Metro,0,05-10-2020
WA|Perth|Metro,0,06-10-2020
WA|Perth|Metro,0,07-10-2020
WA|Perth|Metro,7.4,08-10-2020
WA|Perth|Metro,0,09-10-2020
WA|Perth|Metro,0,10-10-2020
WA|Perth|Metro,0,11-10-2020
WA|Perth|Metro,0,12-10-2020
WA|Perth|Metro,0,13-10-2020
WA|Perth|Metro,0,14-10-2020
WA|Perth|Metro,0,15-10-2020
WA|Perth|Metro,0,16-10-2020
WA|Perth|Metro,0,17-10-2020
WA|Perth|Metro,0,18-10-2020
WA|Perth|Metro,0,19-10-2020
WA|Perth|Metro,0,20-10-2020
WA|Perth|Metro,0,21-10-2020
WA|Perth|Metro,0,22-10-2020
WA|Perth|Metro,0,23-10-2020
WA|Perth|Metro,0,24-10-2020
WA|Perth|Metro,0,25-10-2020
WA|Perth|Metro,0,26-10-2020
WA|Perth|Metro,0,27-10-2020
WA|Perth|Metro,0,28-10-2020
WA|Perth|Metro,0,29-10-2020
WA|Perth|Metro,0,30-10-2020
WA|Perth|Metro,0,31-10-2020
WA|Perth|Metro,20.6,01-11-2020
WA|Perth|Metro,11.6,02-11-2020
WA|Perth|Metro,3.8,03-11-2020
WA|Perth|Metro,0.2,04-11-2020
WA|Perth|Metro,0,05-11-2020
WA|Perth|Metro,0,06-11-2020
WA|Perth|Metro,0,07-11-2020
WA|Perth|Metro,0,08-11-2020
WA|Perth|Metro,2,09-11-2020
WA|Perth|Metro,19,10-11-2020
WA|Perth|Metro,0,11-11-2020
WA|Perth|Metro,0,12-11-2020
WA|Perth|Metro,8.8,13-11-2020
WA|Perth|Metro,4,14-11-2020
WA|Perth|Metro,13.6,15-11-2020
WA|Perth|Metro,0,16-11-2020
WA|Perth|Metro,0,17-11-2020
WA|Perth|Metro,0,18-11-2020
WA|Perth|Metro,0,19-11-2020
WA|Perth|Metro,0,20-11-2020
WA|Perth|Metro,0,21-11-2020
WA|Perth|Metro,0,22-11-2020
WA|Perth|Metro,0,23-11-2020
WA|Perth|Metro,0,24-11-2020
WA|Perth|Metro,0,25-11-2020
WA|Perth|Metro,0,26-11-2020
WA|Perth|Metro,0,27-11-2020
WA|Perth|Metro,0,28-11-2020
WA|Perth|Metro,0,29-11-2020
WA|Perth|Metro,8.4,30-11-2020
WA|Perth|Metro,,
WA|Perth|Metro,0.4,01-12-2020
WA|Perth|Metro,0,02-12-2020
WA|Perth|Metro,,
WA|Perth|Metro,0,04-12-2020
WA|Perth|Metro,0,05-12-2020
WA|Perth|Metro,0,06-12-2020
WA|Perth|Metro,0,07-12-2020
WA|Perth|Metro,0,08-12-2020
WA|Perth|Metro,0,09-12-2020
WA|Perth|Metro,0,10-12-2020
WA|Perth|Metro,0,11-12-2020
WA|Perth|Metro,0,12-12-2020
WA|Perth|Metro,3.8,13-12-2020
WA|Perth|Metro,0.2,14-12-2020
WA|Perth|Metro,0,15-12-2020
WA|Perth|Metro,0,16-12-2020
WA|Perth|Metro,0,17-12-2020
WA|Perth|Metro,0,18-12-2020
WA|Perth|Metro,0,19-12-2020
WA|Perth|Metro,0,20-12-2020
WA|Perth|Metro,0,21-12-2020
WA|Perth|Metro,0,22-12-2020
WA|Perth|Metro,0,23-12-2020
WA|Perth|Metro,0,24-12-2020
WA|Perth|Metro,0,25-12-2020
WA|Perth|Metro,0,26-12-2020
WA|Perth|Metro,0,27-12-2020
WA|Perth|Metro,0,28-12-2020
WA|Perth|Metro,0,29-12-2020
WA|Perth|Metro,0,30-12-2020
WA|Perth|Metro,0,31-12-2020
