Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,009225,2020,12,04,0.0,1,N
IDCJAC0009,009225,2020,12,05,0.0,1,N
IDCJAC0009,009225,2020,12,06,0.0,1,N
IDCJAC0009,009225,2020,12,07,0.0,1,N
IDCJAC0009,009225,2020,12,08,0.0,1,N
IDCJAC0009,009225,2020,12,09,0.0,1,N
IDCJAC0009,009225,2020,12,10,0.0,1,N
IDCJAC0009,009225,2020,12,11,0.0,1,N
IDCJAC0009,009225,2020,12,12,0.0,1,N
IDCJAC0009,009225,2020,12,13,3.8,1,N
IDCJAC0009,009225,2020,12,14,0.2,1,N
IDCJAC0009,009225,2020,12,15,0.0,1,N
IDCJAC0009,009225,2020,12,16,0.0,1,N
IDCJAC0009,009225,2020,12,17,0.0,1,N
IDCJAC0009,009225,2020,12,18,0.0,1,N
IDCJAC0009,009225,2020,12,19,0.0,1,N
IDCJAC0009,009225,2020,12,20,0.0,1,N
IDCJAC0009,009225,2020,12,21,0.0,1,N
IDCJAC0009,009225,2020,12,22,0.0,1,N
IDCJAC0009,009225,2020,12,23,0.0,1,N
IDCJAC0009,009225,2020,12,24,0.0,1,N
IDCJAC0009,009225,2020,12,25,0.0,1,N
IDCJAC0009,009225,2020,12,26,0.0,1,N
IDCJAC0009,009225,2020,12,27,0.0,1,N
IDCJAC0009,009225,2020,12,28,0.0,1,N
IDCJAC0009,009225,2020,12,29,0.0,1,N
IDCJAC0009,009225,2020,12,30,0.0,1,N
IDCJAC0009,009225,2020,12,31,0.0,1,N
IDCJAC0009,009225,2021,01,01,0.0,1,N
IDCJAC0009,009225,2021,01,02,0.0,1,N
IDCJAC0009,009225,2021,01,03,0.0,1,N
IDCJAC0009,009225,2021,01,04,0.0,1,N
IDCJAC0009,009225,2021,01,05,0.0,1,N
IDCJAC0009,009225,2021,01,06,0.0,1,N
IDCJAC0009,009225,2021,01,07,0.0,1,N
IDCJAC0009,009225,2021,01,08,0.0,1,N
IDCJAC0009,009225,2021,01,09,0.0,1,N
IDCJAC0009,009225,2021,01,10,0.0,1,N
IDCJAC0009,009225,2021,01,11,0.0,1,N
IDCJAC0009,009225,2021,01,12,0.0,1,N
IDCJAC0009,009225,2021,01,13,0.0,1,N
IDCJAC0009,009225,2021,01,14,,,
IDCJAC0009,009225,2021,01,15,0.0,1,N
IDCJAC0009,009225,2021,01,16,0.0,1,N
IDCJAC0009,009225,2021,01,17,0.0,1,N
IDCJAC0009,009225,2021,01,18,0.0,1,N
IDCJAC0009,009225,2021,01,19,0.2,1,N
IDCJAC0009,009225,2021,01,20,0.0,1,N
IDCJAC0009,009225,2021,01,21,0.0,1,N
IDCJAC0009,009225,2021,01,22,0.0,1,N
IDCJAC0009,009225,2021,01,23,0.0,1,N
IDCJAC0009,009225,2021,01,24,0.0,1,N
IDCJAC0009,009225,2021,01,25,0.0,1,N
IDCJAC0009,009225,2021,01,26,0.0,1,N
IDCJAC0009,009225,2021,01,27,0.0,1,N
IDCJAC0009,009225,2021,01,28,0.0,1,N
IDCJAC0009,009225,2021,01,29,0.0,1,N
IDCJAC0009,009225,2021,01,30,0.0,1,N
IDCJAC0009,009225,2021,01,31,0.0,1,N
IDCJAC0009,009225,2021,02,01,0.0,1,N
IDCJAC0009,009225,2021,02,02,0.0,1,N
IDCJAC0009,009225,2021,02,03,0.0,1,N
IDCJAC0009,009225,2021,02,04,0.0,1,N
IDCJAC0009,009225,2021,02,05,0.0,1,N
IDCJAC0009,009225,2021,02,06,0.0,1,N
IDCJAC0009,009225,2021,02,07,19.6,1,N
IDCJAC0009,009225,2021,02,08,16.0,1,N
IDCJAC0009,009225,2021,02,09,0.8,1,N
IDCJAC0009,009225,2021,02,10,0.6,1,N
IDCJAC0009,009225,2021,02,11,0.0,1,N
IDCJAC0009,009225,2021,02,12,0.0,1,N
IDCJAC0009,009225,2021,02,13,0.0,1,N
IDCJAC0009,009225,2021,02,14,0.0,1,N
IDCJAC0009,009225,2021,02,15,0.0,1,N
IDCJAC0009,009225,2021,02,16,0.0,1,N
IDCJAC0009,009225,2021,02,17,0.0,1,N
IDCJAC0009,009225,2021,02,18,1.6,1,N
IDCJAC0009,009225,2021,02,19,0.0,1,N
IDCJAC0009,009225,2021,02,20,0.0,1,N
IDCJAC0009,009225,2021,02,21,0.0,1,N
IDCJAC0009,009225,2021,02,22,0.0,1,N
IDCJAC0009,009225,2021,02,23,0.0,1,N
IDCJAC0009,009225,2021,02,24,0.0,1,N
IDCJAC0009,009225,2021,02,25,0.0,1,N
IDCJAC0009,009225,2021,02,26,0.0,1,N
IDCJAC0009,009225,2021,02,27,0.0,1,N
IDCJAC0009,009225,2021,02,28,0.0,1,N
IDCJAC0009,009225,2021,03,01,10.6,1,N
IDCJAC0009,009225,2021,03,02,15.6,1,N
IDCJAC0009,009225,2021,03,03,3.6,1,N
IDCJAC0009,009225,2021,03,04,3.4,1,N
IDCJAC0009,009225,2021,03,05,0.8,1,N
IDCJAC0009,009225,2021,03,06,0.0,1,N
IDCJAC0009,009225,2021,03,07,0.0,1,N
IDCJAC0009,009225,2021,03,08,0.0,1,N
IDCJAC0009,009225,2021,03,09,0.0,1,N
IDCJAC0009,009225,2021,03,10,0.0,1,N
IDCJAC0009,009225,2021,03,11,0.0,1,N
IDCJAC0009,009225,2021,03,12,5.2,1,N
IDCJAC0009,009225,2021,03,13,0.2,1,N
IDCJAC0009,009225,2021,03,14,0.0,1,N
IDCJAC0009,009225,2021,03,15,0.0,1,N
IDCJAC0009,009225,2021,03,16,0.0,1,N
IDCJAC0009,009225,2021,03,17,0.0,1,N
IDCJAC0009,009225,2021,03,18,0.0,1,N
IDCJAC0009,009225,2021,03,19,0.0,1,N
IDCJAC0009,009225,2021,03,20,0.0,1,N
IDCJAC0009,009225,2021,03,21,0.0,1,N
IDCJAC0009,009225,2021,03,22,0.0,1,N
IDCJAC0009,009225,2021,03,23,0.0,1,N
IDCJAC0009,009225,2021,03,24,0.0,1,N
IDCJAC0009,009225,2021,03,25,0.0,1,N
IDCJAC0009,009225,2021,03,26,0.0,1,N
IDCJAC0009,009225,2021,03,27,0.0,1,N
IDCJAC0009,009225,2021,03,28,0.0,1,N
IDCJAC0009,009225,2021,03,29,0.0,1,N
IDCJAC0009,009225,2021,03,30,0.4,1,N
IDCJAC0009,009225,2021,03,31,0.8,1,N
IDCJAC0009,009225,2021,04,01,1.0,1,N
IDCJAC0009,009225,2021,04,02,0.0,1,N
IDCJAC0009,009225,2021,04,03,0.0,1,N
IDCJAC0009,009225,2021,04,04,1.4,1,N
IDCJAC0009,009225,2021,04,05,0.0,1,N
IDCJAC0009,009225,2021,04,06,0.0,1,N
IDCJAC0009,009225,2021,04,07,0.2,1,N
IDCJAC0009,009225,2021,04,08,0.0,1,N
IDCJAC0009,009225,2021,04,09,0.0,1,N
IDCJAC0009,009225,2021,04,10,0.0,1,N
IDCJAC0009,009225,2021,04,11,4.4,1,N
IDCJAC0009,009225,2021,04,12,14.8,1,N
IDCJAC0009,009225,2021,04,13,1.4,1,N
IDCJAC0009,009225,2021,04,14,0.0,1,N
IDCJAC0009,009225,2021,04,15,0.0,1,N
IDCJAC0009,009225,2021,04,16,0.0,1,N
IDCJAC0009,009225,2021,04,17,0.0,1,N
IDCJAC0009,009225,2021,04,18,0.0,1,N
IDCJAC0009,009225,2021,04,19,0.0,1,N
IDCJAC0009,009225,2021,04,20,0.0,1,N
IDCJAC0009,009225,2021,04,21,0.0,1,N
IDCJAC0009,009225,2021,04,22,0.0,1,N
IDCJAC0009,009225,2021,04,23,0.0,1,N
IDCJAC0009,009225,2021,04,24,0.0,1,N
IDCJAC0009,009225,2021,04,25,0.0,1,N
IDCJAC0009,009225,2021,04,26,0.0,1,N
IDCJAC0009,009225,2021,04,27,0.0,1,N
IDCJAC0009,009225,2021,04,28,0.0,1,N
IDCJAC0009,009225,2021,04,29,0.0,1,N
IDCJAC0009,009225,2021,04,30,17.4,1,N
IDCJAC0009,009225,2021,05,01,0.0,1,N
IDCJAC0009,009225,2021,05,02,0.0,1,N
IDCJAC0009,009225,2021,05,03,0.0,1,N
IDCJAC0009,009225,2021,05,04,0.0,1,N
IDCJAC0009,009225,2021,05,05,46.2,1,N
IDCJAC0009,009225,2021,05,06,4.2,1,N
IDCJAC0009,009225,2021,05,07,1.2,1,N
